date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2011-04-08,27.58,27.6004,26.36,26.49,1946400.0,25.01251437307907,24.667030945148515,24.801687954831316,24.484365043477087
2011-04-11,26.47,26.53,25.02,25.27,1369400.0,25.037036813738208,24.69067679043681,24.81096146067624,24.492182306726075
2011-04-12,25.08,25.21,24.3,24.65,1357400.0,25.00017616481076,24.689081622184386,24.807774105019284,24.493752632032283
2011-04-13,25.13,25.69,24.81,24.93,1211500.0,24.99349272054307,24.698529401706566,24.810194419771378,24.498093401862807
2011-04-14,24.87,25.28,24.2,25.14,983400.0,25.007445794777066,24.71584197418866,24.81672522334026,24.50448053219253
2011-04-15,25.65,26.18,25.41,25.58,943500.0,25.06197476670306,24.749730524220478,24.831839575353325,24.51518221843937
2011-04-18,25.13,25.62,24.36,25.03,1033900.0,25.05892955082658,24.76072148405497,24.83576354415821,24.520304783430024
2011-04-19,25.26,25.26,24.65,25.16,548700.0,25.068555307890716,24.776379465072424,24.84218406803626,24.526669909963058
2011-04-20,25.7,26.09,25.3,25.75,837200.0,25.133454802377315,24.814560662520563,24.860160621144452,24.538842348669892
2011-04-21,25.85,26.98,25.5901,26.74,1386100.0,25.286459106912808,24.890068087519754,24.897385163300008,24.560744414852284
2011-04-25,26.7,26.73,25.97,26.39,800900.0,25.391558239587777,24.948888946832707,24.92694189273961,24.578945962963207
2011-04-26,26.66,27.25,26.31,26.93,1400000.0,25.53807650248418,25.02657957636868,24.966606409715062,24.602339535471035
2011-04-27,26.93,27.36,26.63,27.08,996900.0,25.68492635939045,25.107105867491477,25.008455787740505,24.62699287342655
2011-04-28,27.07,27.69,26.72,27.66,1600000.0,25.87302861087707,25.20721936288397,25.060961613725844,24.65717204881534
2011-04-29,27.69,27.87,27.42,27.6,726000.0,26.037502076507828,25.301053897672833,25.11123960157286,24.686453918976383
2011-05-02,27.6,27.8,27.06,27.45,784600.0,26.172025688268988,25.385326293842528,25.157551688670424,24.713951889931845
2011-05-03,27.38,27.39,26.5,26.87,913900.0,26.23849943224337,25.443548792123217,25.191461556221505,24.7354051049574
2011-05-04,26.78,27.0,25.75,26.69,1044500.0,26.28149948631543,25.492429231647797,25.221135584811176,24.754853810380713
2011-05-05,27.2,27.44,26.1701,26.44,1218500.0,26.29659477333301,25.529588869622394,25.245271513824814,24.771621434158018
2011-05-06,26.9,27.7,26.62,27.12,981700.0,26.375014318729868,25.59195793355877,25.28239485018472,24.794988385061917
2011-05-09,27.0,28.0,26.85,27.91,916400.0,26.521203431231786,25.682861544007448,25.334426635329574,24.825983525509063
2011-05-10,28.24,28.95,27.91,28.33,1535300.0,26.693469771114472,25.78667089522284,25.39374491977849,24.860849361076138
2011-05-11,28.2,28.2985,26.92,27.07,962500.0,26.72932979291309,25.83699752678273,25.42693808968387,24.88283095947339
2011-05-12,27.07,27.74,26.65,27.67,628000.0,26.81891743168327,25.90887997671282,25.47135515721488,24.91056398475226
2011-05-13,28.0,28.1891,27.3,27.55,661500.0,26.88854434295153,25.97323762468487,25.512516441230428,24.936827029680103
2011-05-16,27.99,27.99,26.55,26.6,755700.0,26.8610639293371,25.997816541363896,25.534050769126853,24.95337601445941
2011-05-17,27.0,27.0,25.72,25.96,1234200.0,26.77524831701928,25.996333539741784,25.542485407361962,24.963392173519516
2011-05-18,26.1,26.47,25.52,26.35,729500.0,26.734748477303157,26.010202812693088,25.558475795334992,24.977189266320316
